Id,title,subtitle,link,categoryId
1,How to Stop Worrying and End Anxious Thoughts,"Are you plagued by constant worries, fears, and anxious thoughts, especially about things you can’t control? These tips can help calm your worried mind, ease anxiety, and end negative thinking.",https://www.helpguide.org/articles/anxiety/how-to-stop-worrying.htm,1
2,Are You Feeling Suicidal?,"If you’re thinking about suicide, your pain may seem overwhelming and permanent. But there are ways to cope with suicidal thoughts and feelings and overcome the pain.",https://www.helpguide.org/articles/suicide-prevention/are-you-feeling-suicidal.htm,1
3,Stress Management: How to Reduce and Relieve Stress,"While it may seem like there’s nothing you can do about stress at work and home, there are steps you can take to destress and regain control.",https://www.helpguide.org/articles/stress/stress-management.htm,1
4,"Insomnia: Symptoms, Causes, and Treatment","Can’t sleep? If you struggle to fall asleep or stay asleep at night, it can take a huge toll on your health. Here’s how to beat insomnia and end the sleepless nights.",https://www.helpguide.org/articles/sleep/insomnia-causes-and-cures.htm,1
5,"ADHD in Children: Signs, Symptoms, and Help",Do you think your child might have ADHD? Here’s how to recognize the signs and symptoms of attention deficit hyperactivity disorder in girls and boys—and get the help you need.,https://www.helpguide.org/articles/add-adhd/attention-deficit-disorder-adhd-in-children.htm,1
6,Caregiver Stress and Burnout,"The demands of caregiving can be exhausting and overwhelming. But there are steps you can take to rein in stress and regain a sense of balance, joy, and hope in your life.",https://www.helpguide.org/articles/stress/caregiver-stress-and-burnout.htm,1
7,Setting Healthy Boundaries in Relationships,"Whether you’re dealing with romantic partners, family, friends, or coworkers, maintaining healthy boundaries can help you strengthen relationships, avoid unhealthy connections, and improve your self-esteem and overall well-being.",https://www.helpguide.org/articles/relationships-communication/setting-healthy-boundaries-in-relationships.htm,1
8,Improving Emotional Intelligence (EQ),"When it comes to happiness and success in life, EQ matters just as much as IQ. Learn how you can boost your emotional intelligence, build stronger relationships, and achieve your goals.",https://www.helpguide.org/articles/mental-health/emotional-intelligence-eq.htm,1
9,"Depression in Older Adults: Signs, Symptoms, Treatment","Depression can happen to any of us as we age, but there are ways to boost how you feel and make your senior years healthy and happy.",https://www.helpguide.org/articles/depression/depression-in-older-adults.htm,1
10,Aging Well,Staying healthy and feeling your best is important at any age. These tips can help you cope with the changes that accompany growing older—and live life to the fullest.,https://www.helpguide.org/articles/alzheimers-dementia-aging/staying-healthy-as-you-age.htm,1
11,Body Scan Meditation,Cultivate your ability to be mindful and tuned in to what you’re feeling with this body scan meditation.,https://www.helpguide.org/meditations/body-scan-meditation.htm,1
12,Coping with Uncertainty Meditation,"When you're feeling anxious or afraid about the future, this mindfulness meditation can help you find peace in the present moment.",https://www.helpguide.org/meditations/coping-with-uncertainty-meditation.htm,1
13,Mindful Breathing Meditation,"Harness the power of your breath to relieve stress, ground yourself in the present moment, and reestablish inner calm.",https://www.helpguide.org/meditations/mindful-breathing-meditation.htm,1
14,Sleep Meditation Using Guided Imagery,Harness the power of your imagination to relax your body and mind and get to sleep fast.,https://www.helpguide.org/meditations/sleep-meditation-using-guided-imagery.htm,1
15,"ADHD in Adults: Symptoms, Effects, and Self-Help",Attention deficit hyperactivity disorder is not just a childhood problem. Learn what adult ADHD symptoms look like in men and women—and what you can do about it.,https://www.helpguide.org/articles/add-adhd/adhd-attention-deficit-disorder-in-adults.htm,1
16,Adult ADHD and Relationships,"Attention deficit hyperactivity disorder can cause misunderstandings, frustrations, and resentments in your closest relationships. But there are ways to build a healthier, happier partnership.",https://www.helpguide.org/articles/add-adhd/adult-adhd-attention-deficit-disorder-and-relationships.htm,1
17,ADHD and School,School can be a challenge for students with attention deficit hyperactivity disorder—but here’s how you can help your child or teen succeed in the classroom.,https://www.helpguide.org/articles/add-adhd/attention-deficit-disorder-adhd-and-school.htm,1
18,"ADHD in Children: Signs, Symptoms, and Help",Do you think your child might have ADHD? Here’s how to recognize the signs and symptoms of attention deficit hyperactivity disorder in girls and boys—and get the help you need.,https://www.helpguide.org/articles/add-adhd/attention-deficit-disorder-adhd-in-children.htm,1
19,ADHD Tests and Diagnosis,Is it ADHD or something else? Learn how attention deficit hyperactivity disorder is diagnosed in kids and adults.,https://www.helpguide.org/articles/add-adhd/diagnosing-attention-deficit-disorder-adhd.htm,1
20,Tips for Managing Adult ADHD,"Attention deficit hyperactivity disorder can create problems in all areas of your life. But these tips can help you cope with symptoms, get focused, and turn chaos into calm.",https://www.helpguide.org/articles/add-adhd/managing-adult-adhd-attention-deficit-disorder.htm,1
21,ADHD Medications for Children and Adults,"Ritalin, Adderall, Focalin, Strattera, Wellbutrin: Are ADHD drugs right for you or your child? Here’s what you need to know, including common side effects and how to take them responsibly.",https://www.helpguide.org/articles/add-adhd/medication-for-attention-deficit-disorder-adhd.htm,1
22,Teaching Students with ADHD,Dealing with attention deficit hyperactivity disorder in the classroom? These tips for teachers can help you overcome common challenges and help kids with ADHD succeed at school.,https://www.helpguide.org/articles/add-adhd/teaching-students-with-adhd-attention-deficit-disorder.htm,1
23,Treatment for Adult ADHD,"Are you struggling with attention deficit hyperactivity disorder? There are many safe, effective treatments that can help—and that doesn’t have to mean pills or doctors’ offices.",https://www.helpguide.org/articles/add-adhd/treatment-for-adult-adhd-attention-deficit-disorder.htm,1
24,How to Stop Worrying and End Anxious Thoughts,"Are you plagued by constant worries, fears, and anxious thoughts, especially about things you can’t control? These tips can help calm your worried mind, ease anxiety, and end negative thinking.",https://www.helpguide.org/articles/anxiety/how-to-stop-worrying.htm,2
25,Are You Feeling Suicidal?,"If you’re thinking about suicide, your pain may seem overwhelming and permanent. But there are ways to cope with suicidal thoughts and feelings and overcome the pain.",https://www.helpguide.org/articles/suicide-prevention/are-you-feeling-suicidal.htm,2
26,Stress Management: How to Reduce and Relieve Stress,"While it may seem like there’s nothing you can do about stress at work and home, there are steps you can take to destress and regain control.",https://www.helpguide.org/articles/stress/stress-management.htm,2
27,"Insomnia: Symptoms, Causes, and Treatment","Can’t sleep? If you struggle to fall asleep or stay asleep at night, it can take a huge toll on your health. Here’s how to beat insomnia and end the sleepless nights.",https://www.helpguide.org/articles/sleep/insomnia-causes-and-cures.htm,2
28,"ADHD in Children: Signs, Symptoms, and Help",Do you think your child might have ADHD? Here’s how to recognize the signs and symptoms of attention deficit hyperactivity disorder in girls and boys—and get the help you need.,https://www.helpguide.org/articles/add-adhd/attention-deficit-disorder-adhd-in-children.htm,2
29,Caregiver Stress and Burnout,"The demands of caregiving can be exhausting and overwhelming. But there are steps you can take to rein in stress and regain a sense of balance, joy, and hope in your life.",https://www.helpguide.org/articles/stress/caregiver-stress-and-burnout.htm,2
30,Setting Healthy Boundaries in Relationships,"Whether you’re dealing with romantic partners, family, friends, or coworkers, maintaining healthy boundaries can help you strengthen relationships, avoid unhealthy connections, and improve your self-esteem and overall well-being.",https://www.helpguide.org/articles/relationships-communication/setting-healthy-boundaries-in-relationships.htm,2
31,Improving Emotional Intelligence (EQ),"When it comes to happiness and success in life, EQ matters just as much as IQ. Learn how you can boost your emotional intelligence, build stronger relationships, and achieve your goals.",https://www.helpguide.org/articles/mental-health/emotional-intelligence-eq.htm,2
32,"Depression in Older Adults: Signs, Symptoms, Treatment","Depression can happen to any of us as we age, but there are ways to boost how you feel and make your senior years healthy and happy.",https://www.helpguide.org/articles/depression/depression-in-older-adults.htm,2
33,Aging Well,Staying healthy and feeling your best is important at any age. These tips can help you cope with the changes that accompany growing older—and live life to the fullest.,https://www.helpguide.org/articles/alzheimers-dementia-aging/staying-healthy-as-you-age.htm,2
34,Body Scan Meditation,Cultivate your ability to be mindful and tuned in to what you’re feeling with this body scan meditation.,https://www.helpguide.org/meditations/body-scan-meditation.htm,2
35,Coping with Uncertainty Meditation,"When you're feeling anxious or afraid about the future, this mindfulness meditation can help you find peace in the present moment.",https://www.helpguide.org/meditations/coping-with-uncertainty-meditation.htm,2
36,Mindful Breathing Meditation,"Harness the power of your breath to relieve stress, ground yourself in the present moment, and reestablish inner calm.",https://www.helpguide.org/meditations/mindful-breathing-meditation.htm,2
37,Sleep Meditation Using Guided Imagery,Harness the power of your imagination to relax your body and mind and get to sleep fast.,https://www.helpguide.org/meditations/sleep-meditation-using-guided-imagery.htm,2
38,Drug Abuse and Addiction,Do you or someone you know have a drug problem? Explore the warning signs and symptoms and learn how substance abuse problems develop.,https://www.helpguide.org/articles/addictions/drug-abuse-and-addiction.htm,2
39,Staying Social When You Quit Drinking,"For many of us, there’s a strong link between drinking and socializing. But cutting down on alcohol doesn’t have to diminish your social life. These tips can help you maintain relationships without drinking.",https://www.helpguide.org/articles/addictions/staying-social-when-you-quit-drinking.htm,2
40,Vaping: The Health Risks and How to Quit,"Using e-cigarettes and other vape devices can lead to nicotine addiction and expose you to dangerous toxins. Learn more about how it compares to smoking, the unique risks young people face, and how to quit the habit.",https://www.helpguide.org/articles/addictions/vaping.htm,2
41,Women and Alcohol,Drinking too much can be even more dangerous for women than men. The first step in getting help is to recognize the hidden risks of alcohol use for women.,https://www.helpguide.org/harvard/women-and-alcohol.htm,2
42,"Binge Drinking: Effects, Causes, and Help","Ready to let go of a binge drinking habit? If you have trouble stopping drinking once you start, these tips can help you build a healthier relationship with alcohol.",https://www.helpguide.org/articles/addictions/binge-drinking.htm,2
43,Helping Someone with a Drug Addiction,"Does someone you love have a drug problem? Whether it’s illegal substances or prescription medication, you can’t force anyone to stop abusing drugs. But there are ways to support their recovery.",https://www.helpguide.org/articles/addictions/helping-someone-with-drug-addiction.htm,2
44,"How to Stop Self-Medicating Depression, Anxiety, and Stress","Drinking or using drugs to change your mood, face your fears, or deal with painful emotions? There are healthier ways than self-medication to cope with problems and improve how you feel.",https://www.helpguide.org/articles/addictions/self-medicating.htm,2
